Textbox16,ProblemNumber,Status,ServiceName,Category,Priority,Textbox10,CreatedDateTime,ClosedDateTime,Subject,ProblemDescription,Workaround,RootCause,RootCauseCode,Resolution,ResolutionAction
"Created Problem Records for Selected Services, Total 1865",7699,Identified,CE Exam Processing,Metrica - MLA,5,Cambridge English ,18/12/2019 14:06:09,,Metrica CAMLARelease Version 19.4.0.13358 Filters in Test view not showing results,"Greetings,

One of the users here at Michigan Language Assessment is having difficulty filtering items (see below for details). Please let me know if you have any questions or need additional information.

Thank you!
Veronica

Veronica Machak
Assessment Specialist | Michigan Language Assessment
T: +1 734.615.9629
F: +1 734.763.0369
W: https://protect-eu.mimecast.com/s/zL2VC1r11IqqmmjfLdP-E?domain=michiganassessment.org
Prove your English. Achieve your goals. Own your Future.



Summary of Issue: Filtering for items in Test view returns no results for Mac user.

What is the priority level of this issue? P3 currently (single user, urgent task), but we are concerned that if this issue persists or occurs for other users, it may create significant slow-downs and may rise to P2/P1 level.

How is this affecting your work? Without the ability to filter items, test form construction is halted.

Environment:  Live Content Production
MacOSMojave, Chrome Version 78.0.3904.97 (Official Build) (64-bit)

User/Role: rstucker/Metrica Admin role

When was this last working? For this user, December 5th

View: Tests

Steps to reproduce:
1. Log in to Content Production site as rstucker. Choose Metrica Admin role.
2. Go to Tests.
3. Open a test.
4a. Set Item Filters as follows (for a subset of items): Item ID EQUALS CLM%
4b. Set Item Filters as follows (for a particular item known to exist in bank, see attached screenshot): Item ID EQUALS clm15_0006

Expected Outcome:
4a. Items list populates with a filtered list of items with Item ID beginning with ""CLM""
4b. Items list populates with item CLM15_0006

Actual Outcome:
Nothing appears in Items List. (see attached screenshot for 4b.)",,RCA attached. More logging is needed to catch more information.,Software Issue,,
"Created Problem Records for Selected Services, Total 1865",7700,Awaiting Review,CE Exam Processing,Metrica - CE,5,Cambridge English ,18/12/2019 14:27:58,,Metrica/Linguaskill - Error with candidate name,"HI BTS,

We have been contacted by the local office about the candidates below. The centre are adamant that a technical issue meant that the candidates names got interchanged rather than centre error giving the wrong details.

Could you please double check the logs to ensure no technical error occurred?


MX462
Session: BWriting 11 Nov

·         Test: Linguaskill Business Writing
·         Z8VQK-1QSD3 - Correct name (Paloma Lilly Puente Ayala)
·         KSJY5-5DAXJ- Incorrect name (should be Antonio Millán Morales

[cid:image001.png@01D5AF53.826633A0]​

________________________________
MX462
Session: SpeakBCNov21

·         Test: Linguaskill Business Speaking
·         R21JG-DQXNE - Correct name (Natalie Alejandra Corona Vazquez)
·         JYRHB-YT42X - Incorrect name (should be Carlos Alberto Yniestra Beltrán)

[cid:image002.png@01D5AF53.826633A0]


Kind regards,

Matthew Lane
Application Support Technician, Customer Services
Cambridge Assessment English
The Triangle Building, Shaftesbury Road, Cambridge, CB2 8EA
Direct line: +44 (0) 1223 553 431
lane.m@cambridgeenglish.org<mailto:lane.m@cambridgeenglish.org>
cambridgeenglish.org<http://www.cambridgeenglish.org/>

We help people learn English and prove their skills to the world",,,,,
"Created Problem Records for Selected Services, Total 1865",7702,Investigation,CE Exam Processing,Metrica - CE,5,Cambridge English ,19/12/2019 11:05:19,,FAO Metrica APO team - Email Placeholder issue,"Hello,

I have been updating the text in an email template in Metrica Live QA and have an issue with a dynamic field.

The resource key is ExaminerRevokeCertificationEmailBody

I have added the dynamic field {product.name} to the text but this does not pull through when the email is sent.

The html is:

<div>Dear {first.name} {family.name}, </div>
<div>Your examiner status for {product.name} has been revoked.</div>
<div>You will no longer be able to mark for this product.</div>
<div>Please contact <a href=""mailto:MLTadmin@cambridgeenglish.org"" target=""_top"">MLTadmin@cambridgeenglish.org</a> for any queries.</div>
<div>Yours sincerely,</div>
<div>Cambridge English Examiner Management Team
</div>
<br><br><div><small>This is an automatically generated email - please do not reply to it. If you have any queries please contact our Support Team - https://support.cambridgeenglish.org<br><br></small></div><div><small><a href=""https://support.cambridgeenglish.org""></a></small></div>

This field {product.name} is used in other email templates with no problems e.g.

ExaminerCertificatedEmailBody_D545
ProductCatalogBookingConfirmationEmailBody_4500g

Please could you look into why this doesn't work in this particular email body resource field. Is there an alternate that we should use?

Thank you

Best Regards
Becca

Rebecca Patrick
Systems Support Specialist
T: +44 (0) 1223 553039
The Triangle Building, Shaftesbury Road, Cambridge, CB2 8EA

Cambridge Assessment English
Part of the University of Cambridge
www.cambridgeenglish.org<http: www.cambridgeenglish.org=""""></http:>",,,,,
"Created Problem Records for Selected Services, Total 1865",7705,Identified,ESM,ESM - Other,5,CIE ,19/12/2019 14:33:51,,4037/22 IGMD Trigger,"An incident was created for the 4037/22 issue . Business have reviewed all possible changes that would trigger an IGMD feed for an individual or a panel and can confirm:<br><br>*&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; No new invitation responses<br><br>*&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; No changes to the awarding schedule<br><br>*&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; No updates to centre exclusions for the series<br><br>*&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; No updates made in ESM Assignments for the component<br><br>Need to investigate what has caused the IGMD feeds to trigger panel wide for 4037/22. There is a suggestion from Assessment they have seen this with other panels, but not aware of a wider issue.<div><br></div><div>No update log at EPS end, and Biztalk got correct response while requesting (Please find in the activity history)<br><br><br></div>","Seems the panel was updated from ESM by clicking on Push to scoris button in Assignment screen. 
After modified by import type run Populate ESMAssignments, and the modified by user name got updated by text 'Update' by SP ESMAssignments.[dbo].[AcknowledgeIGMD]. So a new column 'Updated By' should be added in ESMAssignments.[dbo].[Availabilities] table and all state should be logged 
 in Esmassignments.dbo.AvailabilityHistory table (Including 2).","There is only one incident 729879 for this. Updates could not be tracked properly due to lack of some logging information.Column ‘Updated/Modified By’ should be added and all the marker_availability_status_id (Currently not tracking status 2, i.e.SentSuccessfully) changes should be tracked into [dbo].[AvailabilitiesHistory] table of ESM.",Requirements Issue,,
"Created Problem Records for Selected Services, Total 1865",7707,Closed,Print and Distribution Services,Script Tracking System (STS),5,CIE CSD ,19/12/2019 15:46:35,08/01/2020 15:54:00,STS location delete not working,"In STS web site,from location hierarchy menu ,if we want to delete&nbsp; location which has 0 item in it( means it has no dependency and system also allowing to delete it)fails without any error message.<div>We checked with same user who added location and immediately try to delete to.<br><div><br></div></div>",User permission change,As per STS-376:  Invalid PR.  The user should have asked for the change of permission instead.,Skills/knowledge issue,None As per STS-376:  Invalid PR.  The user should have asked for the change of permission instead.,Training
"Created Problem Records for Selected Services, Total 1865",7708,Identified,Tridion,CAAT Public Site,5,CSD ,20/12/2019 07:17:44,,Find a centre page - Admissions Testing,"Good morning,<br><br>I've noticed that the social icons on the Admissions Testing website seems to have distorted in size (no longer full circles, cut off edges), but on the 'Find a centre' page only.<br>It's doing it across all browsers in the top right hand corner.<br><br>https://www.admissionstesting.org/find-a-centre/<br><br>Would it be possible to take a look at this please?<br><br>Kind regards,<br><br>Anna Minett<br>Marketing Manager, Business &amp; Marketing<br><br>Cambridge Assessment Admissions Testing<br>The Triangle Building, Shaftesbury Road, Cambridge, CB2 8EA<br>Direct line: +44 (0) 1223 558 427<br>minett.a@cambridgeassessment.org.uk<br>admissionstesting.org",,It seems that style is not implemented to properly align the social icon in find a centre page,Software Issue,Need to fix the style which will be done under WEB-4203,
"Created Problem Records for Selected Services, Total 1865",7709,Closed,Hardware,Server Hardware,4,CSD ,20/12/2019 11:08:46,08/01/2020 15:43:00,iDRAC firmware update caused unexpected reboot of spavufs001 ,Raise with Dell so they can investigate why the crash occurred.&nbsp;,,"Dell have said the difference in BIOS and iDRAC firmware caused the issues with inventorying hardware, which then caused the host to reboot",Software Issue,"ensure BIOS is no more than 4 versions/increments lower than the iDRAC firmware being applied - i.e. if BIOS versions is ""1"" and iDRAC is ""6"", the BIOS should be updated to a minimum of ""2"" before the iDRAC update to ""6"" is applied, however it would be best practice to install the latest BIOS rather than the minimum required as all BIOS updates require a reboot regardless. Firmware should also not be updated in leaps of more than four, so if BIOS version was ""1"" and needed to be updated to ""6"", it should be incrementally updated to ""5"" or lower before being updated to ""6"". ",Training
"Created Problem Records for Selected Services, Total 1865",7710,Closed,ESM,ESM - Marks,3,CIE ,20/12/2019 11:21:56,20/12/2019 13:33:00,Example of mark not loading to EPS.,"<div>This needs investigating as CI are showing multiple instances of this</div><div><br></div>Hi guys,<br><br>Please can we investigate the below?<br><br>5076/03 -<br>Centre S2641 -<br>Candidate 48 -<br><br>O Level Singapore<br>November 2019<br><br>For this candidate, this was marked twice, as shown below.<br><br>Original mark from Mclaughlin on 21st November - mark of 47<br>Supervisor remark from Cobb on 27th November - mark of 48<br><br>Neither mark loaded to EPS, so this was keyed, as shown below.<br><br>[cid:image001.png@01D5B680.C9481070]<br><br>In ESM it appears to have been acknowledged, as soon below:<br><br>Question Paper<br><br>Candidate Name<br><br>Candidate Number<br><br>Date Added To Queue<br><br>Date Collected By A/B<br><br>Acknowledgement ID<br><br>SCIENCE [PHYSICS, CHEMISTRY] P3<br><br>COLLIN GAN HAN JIN,<br><br>48<br><br>10/12/2019 11:06:05<br><br>10/12/2019 11:06:07<br><br>4238865<br><br><br>I'm weary there may be more, but can we look into why neither mark reached EPS?<br><br>Thank you,<br><br>Jonathan Dann<br>Assistant Manager, Exam Processing (Operations)<br><br>Cambridge Assessment International Education<br>The Triangle Building, Shaftesbury Road, Cambridge, CB2 8EA, United Kingdom<br>Telephone: +44 (0) 1223 558495<br>Email: Jonathan.Dann@cambridgeinternational.org<mailto:jonathan.dann@cambridgeinternational.org><br>www.cambridgeinternational.org<https: protect-eu.mimecast.com="""" s="""" 5ulqczkpptrvvgatgf0rd?domain=""cambridgeinternational.org""><br><br>Cambridge Assessment International Education prepares school students for life, helping them develop an informed curiosity and a lasting passion for learning. We are part of the University of Cambridge.</https:></mailto:jonathan.dann@cambridgeinternational.org>",,This is a duplicate PR - Please see 7705 for more details,Duplicate,"This is a duplicate PR - Please see 7705 for more details

See activity history",Other
"Created Problem Records for Selected Services, Total 1865",7711,Investigation,OCR Exam Processing,CAMS,2,OCR,20/12/2019 13:29:20,,Centre 28121 Invoicing Query,"Centre 28121<br>Candidate 15617474 has correctly been invoiced for his unit 2 second attempt. He previous attempts in June 2018 and June 2019 and so has rightly been invoiced for the 3rd test entry:<br><br><br>However the following candidates who have all had previous entries/attempts at the units listed, have not been invoiced for the January 2020 entries:<br><br>15664340 - units 1 and 2<br>15664339 - units 1 and 2<br>15664334 - units 1 and 2<br>15664333 - units 1 and 2<br>15664331 - units 1 and 2<br>15664330 - units 1 and 2<br>15664329 - units 1 and 2<br>15664328 - units 1 and 2<br>15664324 - units 1 and 2<br>15617474 - unit 2 only",,"Whenever EDI files and interchange spreadsheet have entries with move up/down scheme code before full entry code then entrytype for the full entries incorrectly gets updated in database. This causes the database function(fnNumberOfAttempts) to malfunction and incorrectly consider every attempt for a scheme/unit as the first attempt. This leads to further malfunction during Invoicing run, where Invoice is not generated for the impacted candidates.",Software Issue,,
"Created Problem Records for Selected Services, Total 1865",7712,Awaiting Review,EPS,EPS - Data Push/Pulls,5,CIE ,20/12/2019 16:19:51,,Scripts not on STS,"<p>Candidate work are available on EPS but the corresponding scripts are not on STS. The issues have been raised with BTS from June 19 onwards however as confirmed by DC10, this has always been the case and DC10 use to do a manual workaround</p>",Create data in candidate_works table of EPS,,,,
"Created Problem Records for Selected Services, Total 1865",7713,Awaiting Review,Network,Switches,3,CSD ,23/12/2019 10:22:34,,"""udld port aggressive"" on access switch uplinks causes link failure","<font color=""#222222"" face=""none""><span style=""font-size: 13px;"">""udld port aggressive"" on access switch uplinks causes link failure</span></font><div><font color=""#222222"" face=""none""><span style=""font-size: 13px;""></span></font></div><div><font color=""#222222"" face=""none""><span style=""font-size: 13px;""><br></span></font></div><div><font color=""#222222"" face=""none""><span style=""font-size: 13px;""><br></span></font></div>",,,,,
"Created Problem Records for Selected Services, Total 1865",7715,Awaiting Review,ESM,ESM - Marks Aggregation,5,CIE ,23/12/2019 11:48:35,,ESM Marks Aggregation Count is high,<br>Service Line: Shared Business Services<br>Service: ESM<br>Category: ESM - Marks Aggregation<br>Team: Integration and API<br><br>There are 2511 records in the Pending Aggregation Table<div><br></div><div>We can check ESM Aggregation Processor Service got hanged and no log generated on 22/12/2019 for aggregation.</div><div><br></div><div>There are some runtime error in eventlogs in ESM PRD app server : spjntis011.</div>,"ESM WCF Services Host
ESM Aggregation Processor Service

get restarted in ESM App server : spjntis011

And the pending records get processed from [ItemMarksV2].[Aggregation].[Pending] table.",,,,
"Created Problem Records for Selected Services, Total 1865",7716,Awaiting Review,Interchange Services,Interchange,5,OCR,23/12/2019 12:06:34,,Cambridge Technicals Test Entries,"<span lang=""EN-US"" style=""font-size:12.0pt;line-height:
115%;font-family:&quot;Cambria&quot;,&quot;serif&quot;;mso-ascii-theme-font:major-latin;mso-fareast-font-family:
Calibri;mso-fareast-theme-font:minor-latin;mso-hansi-theme-font:major-latin;
mso-bidi-font-family:Arial;mso-ansi-language:EN-US;mso-fareast-language:EN-US;
mso-bidi-language:AR-SA"">Unable to find candidates for making New Cambridge
Technicals test unit entries from Interchange, for which FULL entries has been already
created from Interchange. Issue occurring in case of Web based entries and Spread sheet entries.</span>",We validate the data in between these 3 tables only for candidates and qualifications associated with New Cambridge Technicals and then modifying or inserting the data accordingly to ensure that the candidate details data and Entry data are synchronised to enable centers to make unit entry post full entry is made. ,"On checking from the back end we found that there are  some candidates for which the entry data and the candidate details data are not in sync in the following tables ( dbo.forms_NQF1Detail, dbo.CandidateSyncMap, dbo.CandidateCentre ). It is the mismatch of data amoing these tables which is subsequently not providing the candidate details for a unit entry.
he functionality of New Cambridge Technicals was slightly different as here for the first time the candidate search was used using the data of these 3 tables to make a unit entry post a full entry. (For other quals there is no feature of unit entry post full entry ) Thus the data mismatch between candidate details caused these Incidents.",Data Issue,,
"Created Problem Records for Selected Services, Total 1865",7718,Awaiting Review,Interchange Services,Interchange,5,OCR,23/12/2019 12:36:58,,Interchange: A different claim gets updated when Moderator samples a Submitted claim,"<div class=""MsoNormal""><span lang=""EN-GB"">It&nbsp;has been observed that if there are two claims of a centre for same scheme&nbsp;code, candidate and Unit where the first claim is Processed and the second&nbsp;claim is in Submitted status, then when the moderator samples the Submitted&nbsp;claim, the Processed claim gets updated to Sampled and its Sampled Date gets&nbsp;changed to the current date. The Submitted claim remains unaffected.</span></div>","Manually run the below script in the back-end to fix the issue:
update ClaimPackage set ClaimPackageStateId=6, SampledDate=XXXX where ClaimPackageId=XXXX

Get the Sampled Date from the ClaimPackageAudit table of the affected claim.
","The issue is happening due to incorrect logic written in SP [dbo].[eClaims_UpdateUnitSampled]. The ClaimPackageId is not passed to the SP. Rather it is set in the SP based on the Centre, Scheme Code, Unit and Candidate Number. Now when there are two claims with same Centre, Scheme Code, Unit and Candidate Number, then both claims are returned and the top most ClaimPackage ID is selected, which happens to be the one which already has been processed.",Process Failure,,
"Created Problem Records for Selected Services, Total 1865",7719,Awaiting Review,OCR Exam Processing,OCR Active Results,3,OCR,23/12/2019 13:03:40,,Active Results - Cyber Essentials High Vulnerability,"Please assign a p3 incident to the Data & Orchestration Team to investigate a new Active Results - Cyber Essentials High Vulnerability reported on the 16th December Nessus scan.<br /><br />External URL IP: 192.149.119.16<br />External URL: activeresultsoffline.ocr.org.uk<http://activeresultsoffline.ocr.org.uk><br />Severity: High<br />Synopsis:  Missing Function Level Access Control<br /><br />See 2 attachments for more details.    Please investigate this high security vulnerability.<br /><br />Many Thanks<br /><br />Amanda Clark<br />Vulnerability & Patching Manager, BTS<br />NW2-J<br /><br />Cambridge Assessment<br />Direct +44 (0) 1223 558825<br />Mobile +44 (0) 7710 741205<br />Address The Triangle Building, Shaftesbury Road, Cambridge, CB2 8EA<br />Web cambridgeassessment.org.uk<www.cambridgeassessment.org.uk><br /><br />Cambridge Assessment is the brand name of the University of Cambridge Local Examinations Syndicate, a department of the University of Cambridge. Cambridge Assessment is a not-for-profit organisation.",,,,,
"Created Problem Records for Selected Services, Total 1865",7720,Investigation,Telephony Services,AirWatch Client,5,Cambridge English CIE CSD OCR,23/12/2019 13:12:54,,Unable to join CA-Corporate on Work iPhone,Unable to join CA-Corporate on Work iPhone,"add the user to the Azure Clould group ""Intune no ca-corp""
Then setup the profile manually.",,Unidentified cause,,
"Created Problem Records for Selected Services, Total 1865",7721,Investigation,EPS,EPS - Products,5,CIE ,24/12/2019 10:04:09,,EPS extract not pulling default grading thresholds,"<div><font face=""tahoma"">As mentioned under Incident# 732744<br></font></div><div><font face=""tahoma""><br></font></div><div><font face=""tahoma"">We have discovered that 'default' grading thresholds do not show on the 
Product Detail Spreadsheet generated in Load Products. <br></font></div><div><font face=""tahoma"">For example, 
6890(2) has two components: 01 and 02. No set up had been completed 
against this product in EPS as grading is not needed. <br></font></div><div><font face=""tahoma"">When I first 
pulled the extract, neither components 01 or 02 appeared on the 
Grading(Comp.) tab. The tab was completely blank. <br></font></div><div><font face=""tahoma"">When I went into the 
grading thresholds screen and unticked and ticked A* for component 01, 
saved and pulled another extract, component 01 appeared on the 
Grading(Comp.) tab. Component 02 did not. <br></font></div><div><font face=""tahoma""><br></font></div><div><font face=""tahoma"">This is an area of risk for us
 because components/options/grading options that have not had their 
grading thresholds set will be harder to pick up in quality checks as 
they do not appear at all.</font></div>",N/A,"Under Incident# 732744, it was reported that ‘default’ grading thresholds do not show on the Product Detail Spreadsheet which is generated in Load Products.

For example, 6890(2) component 01 and 02 did not show up on the report.
This is because after the product was set up, the necessary background table was not populated. User has to complete certain steps for the background table to populate.
",Skills/knowledge issue,"1. Once a product has been set up, one needs to go to ‘Grade Thresholds’ screen
2. When open, click OK and then File > Save – do note, it is not mandatory to check/uncheck a grade
3. When this is complete, relevant data will be populated in background table
4. Running any report/extract will then fetch data for such products 
",Training
"Created Problem Records for Selected Services, Total 1865",7722,Identified,IELTS Services,IWAS,3,Cambridge English ,24/12/2019 13:46:57,,IELTPRD1 query consuming great amount of resources on upielor010,"<div class=""MsoNormal"" style=""text-align:justify""><span lang=""EN-US"" style=""font-size:11.0pt"">During IWAS down, Databse team noticed one stement/
script consumed high volume of resources on upielor010 server and after re-boot the
effected server, IWAS become available and the issue got resolved.<o:p></o:p></span></div>",Database team needs to reboot the effected server.,"Hi,

As per the SR with Oracle, We are hitting a bug most likely. Please see the following technical details.

• High waits on cursor: mutex X after upgrading the database to 12.1.0.2, 12.2.0.1, 18c or 19c.
• CPU utilization spikes to 100% due to the mutex waits leading to database hang or application outage.
• Huge version count is seen for the SQL statements during the problem period.
• Login or connection storm is observed during the problem.
• Huge sleeps on functions kkscsAddChildNode & kkscsPruneChild as per 'Mutex Sleep Summary' from AWR report.
CHANGES
 Upgrading the database to 12c and higher.
CAUSE
This is due to below internal bug which is fixed in 20.1.
Unpublished Bug 28889389 : HIGH WAITS ON CURSOR: MUTEX X AFTER UPGRADE TO 12.1.0.2
This bug is hit after having observed that multiple unique sessions are waiting for a parent cursor mutex in exclusive mode on the same cursor under the following stack:-
ksfwaitctx()+28<-kgxWait()+1164<-kgxExclusive()+652<-kkscsAddChildNode()
'cursor: mutex X' would have been taken on the parent cursor to find out the matching child cursor for that particular SQL. Some kind of logon storm where all sessions are executing the same cursor at the same time leading to this mutex contention. The child cursor sharing code has been optimized to reduce the Mutex Contention so that exclusive mutex is not acquired for searching the child cursors for match under the same parent.

",Software Issue,"SOLUTION
To Apply the Patch 28889389 which has the optimized code for cursor mutex while searching the parent cursor for the match.
",
"Created Problem Records for Selected Services, Total 1865",7724,Identified,CCMS,CCMS Test Element Templates,5,OCR,27/12/2019 08:54:44,,OCR TEs Approval Issue,Approved lifecycle could not be applied on Test element workflow activities gets failed.,Apply Lifecycle from TE search screen and rerun Task,Unable to find child relation object ID during post entry checks and returns null value. Issue present in lower environments too.,Data Issue,,
"Created Problem Records for Selected Services, Total 1865",7727,Awaiting Review,Desktop Apps,Microsoft Apps,5,CSD ,31/12/2019 12:54:49,,"Unable to install SQL Server/Management on VDI - Rule ""Fusion Active Template Library (ATL)"" failed","<div style=""""><font color=""#222222"" style=""color: rgb(34, 34, 34); font-size: 13px;""><span style=""font-size: 13px;"">Description:&nbsp;</span></font><font color=""#222222""><span style=""font-size: 13px;"">Unable to install SQL Server/Management on VDI - Error:&nbsp;</span></font><span style=""color: rgb(34, 34, 34); font-size: 13px;"">Rule ""Fusion Active Template Library (ATL)"" failed</span></div><div style=""color: rgb(34, 34, 34); font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;""><br></span></font></div><div style=""color: rgb(34, 34, 34); font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;"">Application / URL affected: SQL Server/Management Studio on VDI</span></font></div><div style=""color: rgb(34, 34, 34); font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;""><br></span></font></div><div style=""color: rgb(34, 34, 34); font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;"">Error message: please see attached&nbsp;</span></font></div><div style=""color: rgb(34, 34, 34); font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;""><br></span></font></div><div style=""""><font color=""#222222"" style=""color: rgb(34, 34, 34); font-size: 13px;""><span style=""font-size: 13px;"">Are colleagues affected - how many: Yes, previous tickets were opened with same issue (</span></font><font color=""#222222""><span style=""font-size: 13px;"">SR 223481, IN 719075) but these were resolved by cloning a VDI with working SQL Server installed.</span></font></div><div style=""color: rgb(34, 34, 34); font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;""><br></span></font></div><div style=""color: rgb(34, 34, 34); font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;"">Does this prevent the user from working: Yes</span></font></div><div style=""color: rgb(34, 34, 34); font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;""><br></span></font></div><div style=""color: rgb(34, 34, 34); font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;"">When was this last working? 1st time install</span></font></div><div style=""color: rgb(34, 34, 34); font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;""><br></span></font></div><div style=""color: rgb(34, 34, 34); font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;"">Operating System: Windows 10</span></font></div><div style=""color: rgb(34, 34, 34); font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;"">Asset number: vpcog7039</span></font></div><div style=""color: rgb(34, 34, 34); font-size: 13px;""><font color=""#222222""><span style=""font-size: 13px;"">Location: India</span></font></div>",,,,,
