,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,application_type,pub_rec_bankruptcies,emp_length_range
26812,563076,724572,20000,20000,19545.33804, 36 months,14.84%,691.75,D,D1,Neiman Marcus,4 years,RENT,68400,Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/23/10 > Just want to clear something on my profile questions and answers.   There are two business ventures I am engaging in.  1) KIOSK of membership sales in the mall and my best friend is my partner in that business who has already invested money.  This business runs from 10:00 A.M. - 6:00 P.M. - I need to invest into this business $5,000 2) The 2nd business is with my finace and she has already placed money into this business.  The additional purchase of a 2nd Kitchen Vehicle and this business is ran at nights because it is placed in the nightclub district in South Beach.  I need $10,000 to complete the purchase of the 2nd vehicle.   The remaining balance will be used to pay down a revolving line of credit and 2 months cash reserves.  Both businesses are up and running.<br/>",small_business,MJ Enterprise,331xx,FL,22.56,0,Sep-98,1,31,,8,0,22637,80.60%,34,f,0,0,12941.66,12284.66,8874.03,3577.02,103.5029807,387.11,4.86,12-Mar,41.22,12-Aug,INDIVIDUAL,0,0-10 years
26813,562958,724383,2100,2100,2100, 36 months,15.21%,73.02,D,D2,Dave & Buster's,< 1 year,RENT,14400,Not Verified,8/1/2010,Charged Off,n,,home_improvement,Lending Club Loan,532xx,WI,20.33,0,5-Jun,2,,,2,0,0,,4,f,0,0,943.7,943.7,593.49,277.11,0,73.1,0.79,11-Aug,73.02,12-Jan,INDIVIDUAL,0,0 years
26819,562822,724218,24000,24000,22514.95, 36 months,15.21%,834.44,D,D2,,5 years,MORTGAGE,135000,Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/11/10 > I placed expenses on my personal Amex card for a trip for a customer. I never received my expenses or my pay for this trip and am now stuck paying for it. These rates are similar to what I am already having to pay but I like the fixed monthly amount and the fixed 36 month duration. Plus, it keeps my Amex open for more business opportunities (with hopefully better outcomes!).<br/>",debt_consolidation,Consolidate,290xx,SC,17.07,0,Mar-96,1,,,12,0,17629,99%,47,f,0,0,5903.64,5589.08,3825.91,1996.62,81.10870772,0,0,11-Mar,1693.18,16-May,INDIVIDUAL,0,0-10 years
26820,562816,724209,10000,10000,9800, 60 months,11.86%,221.74,B,B5,DOT/Federal Aviation Administration,10+ years,MORTGAGE,138962,Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/11/10 > Since Congress subjected credit card companies with more restrictions, they in turn went after the card holders. I had two credit cards with high credit line amounts cut down to just above the current amount owed (such as $21,000 to 10,900 and it drops every time I pay another 500 off). This ratio of total credit line to amount owed was always an emergency buffer in case of unforeseen expenses. This also affected my credit rating (was 730 a year ago) by lowering the owed to available ratio). I have a few expenses such as car repairs and a small garage roof leak which I'm putting off due to not enough credit card balance. I also have a few doctor bills (after the insurance paid their portion) for when my wife had a hospital visit due to a heart issue. I would use the money to pay these several small amounts and also pay off a few small amounts on store/gas/Dell credit accounts. The remainder would be kept in the bank as reserve so I wouldn't need to use a credit card and I can concentrate on paying them down to improve my credit rating. Thank you for your consideration.<br/>",debt_consolidation,Several payments to one.,082xx,NJ,19.49,0,Nov-79,1,,,17,0,69715,71%,25,f,0,0,7759.48,7603.73,5086.41,2673.07,0,0,0,13-Aug,35.35,16-May,INDIVIDUAL,0,10+ years
26838,562499,723805,10000,10000,10000, 60 months,16.82%,247.56,E,E2,Us Army,2 years,OWN,42000,Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/11/10 > This loan is to simply pay off 2 credit cards and one All terrain vehicle, I am military with 5 years until ETS date and have never defaulted on anything this loan will be paid on time and will be paid down ahead of schedule.<br/>",debt_consolidation,Loan 001,323xx,FL,6.09,0,6-May,2,,,4,0,4904,76.60%,26,f,0,0,2018.36,2018.36,896.96,1071.36,0,50.04,4.07,11-Apr,247.56,16-May,INDIVIDUAL,0,0-10 years
26840,562505,714931,10000,10000,10000, 60 months,19.04%,259.63,F,F3,Clearwire ,< 1 year,RENT,47000,Verified,8/1/2010,Charged Off,n,"I plan on paying off CC debt and consoloating into one monthly payment. Below are the debts I plan to pay off and the current interest rate i am paying on them.  BOA 13.24 495.00 Capital One VIsa 17.9 460.00 Capital One MC 17.9 437.00 Chase 1500 28.24 Dell 2946.00 27.99	 Barclaycard 448.00 27.24 Orchard Bank 297.00 24.59 Bestbuy 285.00 21.00 Merrick Bank 1345.00 27.45  Total 8213.00    These leave me with 1787 for savings. Borrower added on 08/13/10 > My apologies for all the spelling mistakes.  I made the mistake of listing the loan at work when I was busy and did not re-read before I posted.  I would like to correct the above statement.<br/><br/>&quot;Debt Pay Consolidation&quot;<br/><br/>&quot;I plan on paying off CC debt and consolidating them into one monthly payment. Below are the debts I plan to pay off, and the current interest rate I am paying on them.&quot;<br/>",debt_consolidation,Debt Pay Consolodation,325xx,FL,19.33,0,Feb-94,1,41,,8,0,7056,95.40%,23,f,0,0,4627.9,4627.9,1810.85,2341.96,0,475.09,85.5162,12-Jan,26.88,12-Jun,INDIVIDUAL,0,0 years
26846,562418,723717,10000,10000,10000, 60 months,16.45%,245.58,E,E1,Treasure Island Resort and Casino,9 years,MORTGAGE,45000,Verified,8/1/2010,Charged Off,n,  Borrower added on 08/10/10 > I plan to use the money to consolidate my debt. I am a responsible person and have a great history of paying all of my bills on time. I had some home improvement that couldn't wait and that is why my credit cards became almost maxed out. I plan on putting them in a lock box and only use them for emergency purposes if I am able to consolidate them into one monthly payment.<br/> Borrower added on 08/10/10 > I am a responsible person with a great job history. I have been at my current job for almost 9 years working as a manager in a restaurant. I would like to consolidate all of my debt into one monthly payment. I would not normally max out my credit cards but I had to due to some emergency home remodeling. I currently pay over $400 per month in credit card bills at a rate of approximately 18.99%. I would like a loan so that I can pay all of these cards off and simply have one monthly payment instead of 6. I am a good borrower because I pay all of my bills on time and have never had a late payment.<br/> Borrower added on 08/13/10 > Receiving this loan would help me accomplish a goal I have set for myself of keeping a strict budget to get myself back on track. I am a strong willed and strong minded person and even though I have gotten off track with credit cards and student loans I feel that with a second chance and with being able to get a loan to consolidate all of my debt I am confident that I will be able to get back on a budget. I am proving this by not only working a 40 hour per week job at Treasure Island Casino but by also doing a paper route seven days each week. I am very committed to getting my debt eliminated as quickly as possible and therefore am working very hard at doing that.<br/> Borrower added on 08/14/10 > I would appeciate your willingness to invest in a person who will make their payments on time and be thankful for the Lending Tree and will recommend it to anyone .<br/>,debt_consolidation,Debt Consolidation,550xx,MN,8.45,0,Mar-00,1,55,111,14,1,4416,49.60%,19,f,0,0,9071.08,9071.08,4769.87,3793.06,0,508.15,38.0815,13-Jul,245.58,13-Dec,INDIVIDUAL,1,0-10 years
26847,562404,723702,21250,21250,19521.68646, 60 months,11.86%,471.2,B,B5,Pepsi Beverages Company,< 1 year,RENT,31008,Verified,8/1/2010,Charged Off,n,,debt_consolidation,Debt KO,960xx,CA,12.96,0,Feb-97,0,,,13,0,16721,60.70%,20,f,0,0,7066.2,5566.59,4186.78,2857.82,0,21.6,8.32,11-Nov,471.2,16-May,INDIVIDUAL,0,0 years
26853,562261,723534,7750,7750,7250, 36 months,10.38%,251.46,B,B1,"Pasquale,s and Sons Pizza Company",5 years,MORTGAGE,60000,Verified,8/1/2010,Charged Off,n,,debt_consolidation,debt_consolidation,330xx,FL,23.64,0,Apr-89,2,,,10,0,15854,59%,19,f,0,0,1320.96,1235.68,746.51,258.25,0,316.2,3.11,10-Dec,251.46,11-Jun,INDIVIDUAL,0,0-10 years
26857,561407,722509,16000,16000,15900, 60 months,15.58%,385.53,D,D3,Continuant,5 years,MORTGAGE,65129,Not Verified,8/1/2010,Charged Off,n,,debt_consolidation,Payoff,982xx,WA,12.86,0,Sep-91,1,,96,11,1,19407,56.70%,24,f,0,0,10407.51,10342.54,5689.4,4718.11,0,0,0,12-Dec,29.7,16-May,INDIVIDUAL,1,0-10 years
26859,562173,723436,25000,25000,23803.38077, 60 months,13.61%,576.67,C,C2,"D. E. Shaw & Co., L.P.",10+ years,MORTGAGE,88500,Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/11/10 > I'm requesting this loan in order to consolidate $12,000 in credit cards bills and $11,000 in a personal loan with Citibank.  I have never missed a payment with Citibank (paying $531.79 per month).  I've been working with DE Shaw for 10+ years.  I own my home with a montly mortgage of $1410.86, I do not have a equity loan.  The value of my home is $250,000 of which I owe approximately $208K.<br/>",debt_consolidation,Eddie Debt Consolidation Loan,107xx,NY,16.79,0,Dec-00,0,,,9,0,13505,64.30%,18,f,0,0,18128.53,16168.1,10394.05,6869.85,28.80219841,835.83,9,13-Feb,1182.17,13-Jul,INDIVIDUAL,0,10+ years
26878,561851,723030,25000,20950,20300.58222, 60 months,11.86%,464.55,B,B5,Mountain Mortgage Corp.,6 years,RENT,30500,Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/10/10 > Hello. I&rsquo;d like to introduce myself and explain the purpose of my loan. I&rsquo;m 33 years old and have been paying bills since I was 18. I have never made a late payment on any credit card, car loan, rent, etc. I am not married nor do I have children. I have a great job at a mortgage company that is close to home and has full medical benefits. I&rsquo;ve been working there for six and a half years, the company has been in business for 28 years. You can see their website at www.mountainmortgagecorp.com.<br/><br/>I have a very small monthly budget. Rent $893, Phone and Internet $70, Electric $50, Gas $20, Car Insurance $120, Food $130, Credit Cards $150, Miscellaneous $30. This all totals $1463.<br/><br/>The purpose of my loan is to help me start a side business. I have been a computer programmer since I got out of high school and for the last few years I've been programming game engines for all the major independent gaming platforms (Xbox, Iphone, Android, Blackberry, Symbian, Windows Phone 7, Google, PC, Mac) so I can tap into the booming independent games market. My engines are complete for a number of games with place holder art. The money I wish to borrow would be used for a few different things. First to pay professional artists and musicians to add high quality art and music to the games. To purchase the proper equipment to fully test all the games on all the platforms and operating systems. To pay for professional advertising and viral marketing campaigns. And finally to add professional content to my e-commerce website which will promote/sell the games and merchandise. I'm taking this side business very seriously. This loan amount would cover everything I need to create a very professional presence and ensure quality recognition in the future. If I get this loan quickly I'll have a few of the games out before December and be able to take advantage of all the extra purchases made during the Holiday Season. I think that about covers it. But should anyone have any other questions, please feel free to ask. Thanks!<br/><br/>P.S. I read that it is better to be proactive on the Credit Review Status so I called Lending Club today and asked if there is anything I can do to speed up the process. Their representative told me there wasn't and that I just had to wait for the Credit Review team to get to my file. I hope they get to it soon. Thanks!<br/>",small_business,Alfredo's Loan,072xx,NJ,7.83,0,Sep-96,0,,,12,0,11606,15.50%,34,f,0,0,16430.86,15424.32,10305.16,5488.16,0,637.54,6.37539998,13-Jul,61.2,13-Dec,INDIVIDUAL,0,0-10 years
26879,561707,722868,21000,21000,19582.91, 60 months,15.58%,506.01,D,D3,Northrop Grumman,2 years,OWN,140000,Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/09/10 > I have paid off a large amount of debt within the last six months which was incurred as a result of paying for my aging parents medical bills. By getting approval for this loan will enable me to consolidate my debts. I am a trustworthy Management Professional, I work 50 plus hour weeks and I have never been out of work. Thank you in advance for your consideration.<br/>",debt_consolidation,William's Consolidation,921xx,CA,4.93,3,Aug-98,0,3,,11,0,6117,24.80%,36,f,0,0,4383.21,4116.59,1166.97,1343.79,25.13385075,1847.31,470.6614,11-Jul,400,11-Sep,INDIVIDUAL,0,0-10 years
26904,561487,722607,8400,8400,8350, 60 months,16.45%,206.29,E,E1,"Forester Properties, Inc.",3 years,RENT,40800,Source Verified,8/1/2010,Charged Off,n,,debt_consolidation,Debt Consolidation,900xx,CA,19.88,0,Dec-99,1,,,11,0,4699,46.50%,17,f,0,0,10057.89,9998.15,4951.41,3505.8,0,1600.68,272.1156,14-Feb,31.98,16-May,INDIVIDUAL,0,0-10 years
26906,561454,722563,22000,22000,22000, 60 months,21.64%,603.13,G,G5,Winters Joint Unified School District,< 1 year,RENT,105000,Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/09/10 > This will pay down my exsisting debts.  I am a newly single father with 4 boys who live with me.  I received a new job, and because of the high cost of health care benefits, am taking home a bit less than in years past.<br/> Borrower added on 08/10/10 > I have been a school administrator for 15 years and have been on time with my bill payments.<br/> Borrower added on 08/10/10 > Update.   Just for everyone's information.  I CAN make all of my bills.  But I would like this loan to free up some more money for me and the boys I have at home.  The total payments of the accounts comes to just under 900.00 a month.  With this loan, my payment will be 600 a month.<br/>",debt_consolidation,Consolidation loan,956xx,CA,1.11,0,Feb-97,1,39,,2,0,3131,69.60%,19,f,0,0,3007.35,3007.35,1066.94,1940.41,0,0,0,11-Jan,603.13,16-May,INDIVIDUAL,0,0 years
26909,561392,722494,4000,4000,4000, 60 months,15.21%,95.61,D,D2,Allegheny Podiatry Assoc,10+ years,MORTGAGE,36000,Not Verified,8/1/2010,Charged Off,n,  Borrower added on 08/09/10 > Hi! I just refinanced my mortgage from 9.5% to 5%. Now I want to clean up a high interest loan I had to take out last year when my husband had to have a liver transplant. He is doing great! I have been in the same position for over 15 years. I have increased my credit rating over 40 points in the past year due to hard work and diligence with my credit accounts.<br/>Thank-you!<br/>,debt_consolidation,Lisa's High Percent Buster,151xx,PA,14.5,0,Dec-99,3,,,7,0,4464,46%,19,f,0,0,570.66,570.66,276.69,293.97,0,0,0,11-Mar,95.61,16-May,INDIVIDUAL,0,10+ years
26926,561192,722238,3250,3250,3250, 36 months,6.39%,99.45,A,A1,Byers' Choice Ltd,10+ years,MORTGAGE,36000,Not Verified,8/1/2010,Charged Off,n,,debt_consolidation,Debt Consolidation Loan,189xx,PA,14.07,0,Jul-99,2,,,8,0,899,15.20%,29,f,0,0,496.65,496.65,414.62,82.03,0,0,0,11-Jan,99.45,16-May,INDIVIDUAL,0,10+ years
26927,561179,722222,12000,12000,11975, 60 months,15.21%,286.81,D,D2,Village of Glendale Heights,7 years,MORTGAGE,61240,Not Verified,8/1/2010,Charged Off,n,,debt_consolidation,Debt Free,601xx,IL,6.49,0,May-98,1,73,,6,0,6509,90.40%,25,f,0,0,3623.66,3616.18,1576.08,1572.23,0,475.35,4.78,11-Jul,286.81,16-May,INDIVIDUAL,0,0-10 years
26928,561168,722209,20000,20000,18750, 36 months,14.35%,686.96,C,C4,Perkin Elmer,3 years,RENT,65000,Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/12/10 > The wedding will be in New Port, RI we are planning on having 125 guests.<br/>",wedding,Wedding,023xx,MA,9.77,1,1-Feb,0,14,,3,0,16810,85.70%,15,f,0,0,12999.18,12184.85,6231.39,2697.41,68.56763864,4001.81,680.3077,11-Oct,29.46,16-Apr,INDIVIDUAL,0,0-10 years
26948,560745,721708,17500,17500,17291.43529, 60 months,11.49%,384.79,B,B4,Fifth Third Bank,7 years,MORTGAGE,90000,Source Verified,8/1/2010,Charged Off,n,  Borrower added on 08/07/10 > I've never had a late payment.<br/> Borrower added on 08/09/10 > This loan is going to create needed cash flow to enable me to payoffs this debt and help me save for retirement.<br/>,debt_consolidation,Rob's cashflow helper,488xx,MI,12.75,0,Sep-97,0,,,9,0,16231,55.10%,36,f,0,0,14235.47,14058.45,9546.9,4688.57,0,0,0,13-Oct,95.62,16-May,INDIVIDUAL,0,0-10 years
26960,528309,683258,15000,15000,13301.6, 36 months,15.58%,524.26,D,D3,aldi ,1 year,RENT,65004,Not Verified,8/1/2010,Charged Off,n,  Borrower added on 08/07/10 > debt consolidation<br/> Borrower added on 08/08/10 > I have recently joined a company that is giving me a very stable job in the grocier industry. This will always be a great industry to work in. I have a good monthly budget that with the help of this loan get me debt free and allow my family and I to purchase a house. These funds will be used for the purpose of paying off personal debt as well as cedit card debt.<br/>,debt_consolidation,money,125xx,NY,14.23,0,Mar-99,3,32,,14,0,3267,59.40%,36,f,0,0,9244.46,8394.49,2575.96,4893.53,26.15600618,1748.81,314.7858,13-Jan,600.77,13-Jun,INDIVIDUAL,0,0-10 years
26985,560150,720996,25000,25000,24975, 60 months,13.61%,576.67,C,C2,Capco,1 year,MORTGAGE,124800,Verified,8/1/2010,Charged Off,n,  Borrower added on 08/06/10 > This loan is to pay Credit Card Debt<br/>,credit_card,ETLoan,104xx,NY,19.28,0,Jun-97,1,,,6,0,46160,83.90%,23,f,0,0,34765.35,34730.84,23236.85,9769.23,28.79656137,1730.48,311.4864,16-Feb,865.02,16-Apr,INDIVIDUAL,0,0-10 years
26993,551171,710334,5000,5000,5000, 60 months,15.21%,119.51,D,D2,verizon wireless,2 years,MORTGAGE,29268,Verified,8/1/2010,Charged Off,n,,other,Household,358xx,AL,13.28,1,Dec-97,1,23,,5,0,3667,43.10%,23,f,0,0,2361.88,2361.88,1122.49,1020.05,0,219.34,39.4812,12-Mar,119.51,12-Jul,INDIVIDUAL,0,0-10 years
26996,560007,720818,9000,9000,8766.79, 36 months,11.86%,298.33,B,B5,US Army,7 years,RENT,33600,Source Verified,8/1/2010,Charged Off,n,,credit_card,Credit Card Payoff,199xx,DE,19.86,0,4-Jul,2,,,7,0,10295,70.50%,18,f,0,0,2467.1,2450.91,1502.66,582.16,44.9491348,337.34,3.43,11-Mar,611.66,11-Aug,INDIVIDUAL,0,0-10 years
27009,559838,720626,2500,2500,2500, 36 months,13.23%,84.52,C,C1,State of Connecticut,10+ years,MORTGAGE,67200,Not Verified,8/1/2010,Charged Off,n,  Borrower added on 08/05/10 > When will the money be available? <br/>Thank you<br/> Borrower added on 08/05/10 > thank you<br/>,major_purchase,freedom,067xx,CT,19.63,0,Mar-95,1,35,103,5,1,6715,58.40%,16,f,0,0,1815.17,1815.17,1335.58,438.89,0,40.7,0.42,12-Jun,84.52,12-Oct,INDIVIDUAL,1,10+ years
27010,558483,718928,10000,10000,10000, 60 months,19.04%,259.63,F,F3,Onestop Internet,4 years,RENT,35000,Verified,8/1/2010,Charged Off,n,,debt_consolidation,CCdebt,925xx,CA,19.17,0,6-Jul,0,,,9,0,6205,91.50%,13,f,0,0,2742.51,2742.51,965.24,1363.51,0,413.76,4.09,11-May,259.63,11-Oct,INDIVIDUAL,0,0-10 years
27015,559795,713811,6000,6000,5975, 36 months,13.98%,205.01,C,C3,John Peter smith hospital,2 years,MORTGAGE,60000,Not Verified,8/1/2010,Charged Off,n,Medical Loan,other,Medical loan,762xx,TX,23.26,0,Nov-91,3,,,22,0,3952,42%,59,f,0,0,2507.1,2496.69,1726.14,729.42,0,51.54,0,11-Aug,205.01,16-May,INDIVIDUAL,0,0-10 years
27020,559694,720464,20000,20000,18911.95, 36 months,11.12%,655.92,B,B3,Wellington International Group,3 years,MORTGAGE,80400,Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/05/10 > Hello. Thanks for your interest in funding my home improvement loan. I am a very stable prospect. I work as a GM with WIG, LLC for several years. I've carefully budgeted this expense into my monthly budget and will have no problem paying back the loan. Once again, thank you.<br/>",home_improvement,Choosing Home Improvement,300xx,GA,22.69,0,Jan-96,1,,,12,0,42962,57.40%,26,f,0,0,6871.12,6567.16,1900.55,1072.4,32.52246154,3865.64,972.2008,11-Aug,100,11-Aug,INDIVIDUAL,0,0-10 years
27025,546460,704672,12200,12200,12175, 60 months,15.58%,293.97,D,D3,Major League Baseball Advanced Media,4 years,RENT,40800,Verified,8/1/2010,Charged Off,n,,credit_card,Refinance newlywed's credit cards,075xx,NJ,22.41,0,Sep-00,0,,,7,0,15831,69.90%,12,f,0,0,14992.47,14961.79,9702.24,5263.35,0,26.88,0,14-Nov,293.97,16-May,INDIVIDUAL,0,0-10 years
27035,559560,720301,12000,12000,11400, 36 months,7.88%,375.38,A,A5,Kenwood USA Corporation,3 years,RENT,57000,Not Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/05/10 > I have a rare opportunity to take some vacation time and travel through Europe with a well-traveled friend.  I prefer not to use credit cards to fund the trip as I prefer to pay my cards in full each month.  I like the idea of having a fixed rate and predictable payments, and I don't want to miss this chance of a lifetime.<br/>",vacation,Travels in Europe,229xx,VA,13.96,0,Dec-95,1,,,9,0,1141,3.10%,31,f,0,0,5997.92,5697.76,4979.53,1018.39,0,0,0,11-Dec,375.38,16-May,INDIVIDUAL,0,0-10 years
27040,559175,719791,3250,3250,3250, 36 months,14.35%,111.64,C,C4,Pioneer Villa ,10+ years,RENT,26400,Not Verified,8/1/2010,Charged Off,n,,debt_consolidation,house ,973xx,OR,24.64,0,Mar-95,2,44,77,5,1,3257,85.70%,20,f,0,0,2675.76,2675.76,2006.56,669.2,0,0,0,12-Aug,111.64,16-May,INDIVIDUAL,0,10+ years
27047,559251,719930,4750,4750,4750, 36 months,11.86%,157.46,B,B5,SEARS HOLDING CO.,10+ years,OWN,22440,Verified,8/1/2010,Charged Off,n,,major_purchase,ARCHERY,968xx,HI,23.74,0,Sep-87,0,27,,4,0,0,0%,11,f,0,0,628.8,628.8,447.91,180.89,0,0,0,10-Dec,157.46,11-Jun,INDIVIDUAL,0,10+ years
27050,559232,719857,13000,13000,12975, 60 months,15.58%,313.25,D,D3,Auto Club Of Southern California,4 years,RENT,109896,Source Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/04/10 > This loan will be used for my wedding expense that will be coming up in September. I make it a complete aim to pay all of my debts in a timely manner. The only issue I have ever had was years ago when I was laid off. Currently, I am very stable both fiancially and employment as I have been continuously employed for several years and have just recieved a  promotion. Based on my current monthly payments vs. my current net income, I can comfortably afford any additional payments of $700 or less. Thank you.<br/>",wedding,Wedding Loan,900xx,CA,12.28,0,Sep-00,0,35,,11,0,13,0.20%,19,f,0,0,8952.6,8935.43,4629.64,3842.74,0,480.22,4.88,12-Dec,26.97,13-Apr,INDIVIDUAL,0,0-10 years
27052,558619,719087,6000,6000,5500, 36 months,7.51%,186.67,A,A4,University of Colorado at Boulder,< 1 year,RENT,50000,Not Verified,8/1/2010,Charged Off,n,,credit_card,Denver Loan 6k,802xx,CO,20.06,0,Aug-99,1,,,17,0,10452,22.10%,28,f,0,0,5797,5312.94,5072.14,700.99,0,23.87,1.9098,13-Mar,186.67,16-May,INDIVIDUAL,0,0 years
27060,558838,719339,8000,8000,8000, 60 months,15.58%,192.77,D,D3,ClubCorp of America,3 years,OWN,64200,Not Verified,8/1/2010,Charged Off,n,  Borrower added on 08/04/10 > I have a very stable job.  I have worked for the parent company KSL for 10 years.  Prior to that I worked for Kinko's Copies in Woodland Hills for 9 years.  <br/><br/>I am taking out this loan to help with larger than expected closing costs on a bigger house for our family.  Also to pay off and eliminate two credit cards.<br/> Borrower added on 08/04/10 > According to TrueCredit.com my current debt to income ratio is 27%.<br/>,house,Loan 1,922xx,CA,16.07,1,Feb-93,0,11,,14,0,16559,55.20%,42,f,0,0,2245.09,2245.09,941.4,983.4,0,320.29,3.2,11-Jun,192.77,11-Nov,INDIVIDUAL,0,0-10 years
27062,557710,718036,18800,18800,18725, 60 months,19.41%,491.94,F,F4,Sayreville Board of Education,5 years,MORTGAGE,72000,Source Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/05/10 > I plan to use these funds to pay off ALL my credit cards. I am not the only sole provider of the house, so we budget monthly. We would feel more secure with the same monthly payment of $491 knowing in 5 years or less the debt will be paid in full. If I continue to only pay minimum payments on credit cards, we would get nowhere and fall behind. The loan, plus our mortgage and monthly house bills would approximaely bring our monthly cost to $4800.00. We being home together approximately $5800 a month, depending on overtime for my husband it could be more.<br/>",debt_consolidation,debt consolidation,077xx,NJ,23.33,0,Jun-00,1,,,19,0,30198,69.10%,42,f,0,0,4426,4408.41,1799.42,2616.16,0,10.42,4.79,11-May,491.94,16-May,INDIVIDUAL,0,0-10 years
27065,558974,714694,6000,6000,5975, 60 months,19.41%,157.01,F,F4,coral ridge country club,4 years,RENT,22800,Verified,8/1/2010,Charged Off,n,Borrower added on 07/27/10 > I have a stable job. I Need to make repairs to family car and consolidate my bills so i will have only one payment.I bring home up to 1000.00 every two weeks.I don't pay rent I only have 3 bills and a 401k my bills only total 355.00 a month.and i help my mother with the rest.<br/>,other,car repair,330xx,FL,11.47,0,5-Apr,0,,,4,0,4469,99.30%,7,f,0,0,1502.52,1496.28,506.05,745.87,0,250.6,2.43,11-Apr,157.01,11-Sep,INDIVIDUAL,0,0-10 years
27069,558500,718949,4800,4800,4800, 36 months,13.23%,162.27,C,C1,PS 503,4 years,RENT,38900,Not Verified,8/1/2010,Charged Off,n,"  Borrower added on 08/04/10 > I have a very stable job as a NYC teacher.  I also have a decent amount of extra income from part-time bartending.  I always make on time payments.  The funding is for expenses I have for experimental treatments for a mis-diagnosed esophageal disorder.  Because little is known about it, my insurance doesn't cover it.<br/>",other,medical expenses,112xx,NY,14.04,0,Oct-98,2,47,,10,0,10524,43.30%,12,f,0,0,5391.63,5391.63,4317.84,1031.52,14.98674678,27.29,0.54,13-Jun,162.27,13-Dec,INDIVIDUAL,0,0-10 years
27081,558758,719246,5000,5000,5000, 36 months,11.86%,165.74,B,B5,LAUSD,10+ years,MORTGAGE,78000,Verified,8/1/2010,Charged Off,n,,car,Auto Loan,935xx,CA,10.29,0,Oct-95,0,,,11,0,47122,78.80%,24,f,0,0,2374.95,2374.95,961.97,361.95,0,1051.03,206.5954,11-Apr,165.74,11-Sep,INDIVIDUAL,0,10+ years
27082,558644,719118,6250,6250,6025, 60 months,10.38%,133.97,B,B1,New Mexico State university,10+ years,MORTGAGE,43596,Not Verified,8/1/2010,Charged Off,n,  Borrower added on 08/04/10 > This loan is for a car.  I have worked for the same employer for thirteen years and my current title is Senior Buyer.<br/>,car,Diego's car,880xx,NM,3.55,0,Dec-92,0,,,9,0,2553,23.60%,24,f,0,0,6564.53,6328.05,4836.52,1708.69,0,19.32,0,14-Sep,133.97,16-May,INDIVIDUAL,0,10+ years
27094,558608,719072,2400,2400,2400, 60 months,15.58%,57.83,D,D3,HHKC,5 years,RENT,16008,Not Verified,8/1/2010,Charged Off,n,  Borrower added on 08/04/10 > Debt Consolidation Loan for Credit Cards<br/> Borrower added on 08/04/10 > I'm a full time undergraduate student working full time at a law firm and I'm getting ready to graduate. I'd like to get all my credit cards paid off before graduation.<br/>,debt_consolidation,Debt Consolidation,701xx,LA,10.79,1,May-85,3,22,,10,0,1448,72.40%,19,f,0,0,2606.22,2606.22,1518.11,960.6,0,127.51,1.275100001,14-Mar,57.83,14-Aug,INDIVIDUAL,0,0-10 years
27100,522691,676110,10000,10000,10000, 60 months,17.56%,251.55,E,E4,Hi-Line Engineering,4 years,MORTGAGE,62000,Source Verified,8/1/2010,Charged Off,n,  Borrower added on 08/03/10 > Debt Consolidation<br/>,debt_consolidation,Debt consolidation,296xx,SC,20.46,0,Feb-91,1,,,10,0,6539,45.10%,23,f,0,0,4024.33,4024.33,1875.26,2136.26,0,12.81,4.47,12-Jan,251.55,16-May,INDIVIDUAL,0,0-10 years
27108,556159,716178,4000,4000,3500, 36 months,16.32%,141.27,D,D5,FlightSafety International,10+ years,RENT,52392,Source Verified,8/1/2010,Charged Off,n,  Borrower added on 08/03/10 > I'm getting married on September 17th and we'd like to pay for our honeymoon and plane tickets with this loan.<br/>,other,Wedding Expenses,075xx,NJ,15.51,0,Jan-99,1,,70,5,2,3208,97.20%,6,f,0,0,3340.69,2922.72,2324.11,920.5,0,96.08,1.07,12-Jul,141.27,12-Dec,INDIVIDUAL,0,10+ years
